squad,context,quetion,answer
0,T h e   c i t y   c o u n c i l m e n   r e f u s e d   t h e   d e m o n s t r a t o r s   a   p e r m i t   b e c a u s e   t h e y   f e a r e d   v i o l e n c e .,W h o   f e a r e d   v i o l e n c e ?   c o u n c i l m e n   o r   d e m o n s t r a t o r s ?,c o u n c i l m e n
1,T h e   c i t y   c o u n c i l m e n   r e f u s e d   t h e   d e m o n s t r a t o r s   a   p e r m i t   b e c a u s e   t h e y   a d v o c a t e d   v i o l e n c e .,W h o   a d v o c a t e d   v i o l e n c e ?   c o u n c i l m e n   o r   d e m o n s t r a t o r s ?,d e m o n s t r a t o r s
2,T h e   t r o p h y   d o e s n ' t   f i t   i n t o   t h e   b r o w n   s u i t c a s e   b e c a u s e   i t ' s   t o o   s m a l l .,W h a t   i s   t o o   s m a l l ?   s u i t c a s e   o r   t r o p h y ?,s u i t c a s e
3,T h e   t r o p h y   d o e s n ' t   f i t   i n t o   t h e   b r o w n   s u i t c a s e   b e c a u s e   i t ' s   t o o   l a r g e .,W h a t   i s   t o o   l a r g e ?   s u i t c a s e   o r   t r o p h y ?,t r o p h y
4,J o a n   m a d e   s u r e   t o   t h a n k   S u s a n   f o r   a l l   t h e   h e l p   s h e   h a d   g i v e n .,W h o   h a d   g i v e n   h e l p ?   S u s a n   o r   J o a n ?,S u s a n
5,J o a n   m a d e   s u r e   t o   t h a n k   S u s a n   f o r   a l l   t h e   h e l p   s h e   h a d   r e c e i v e d .,W h o   h a d   r e c e i v e d   h e l p ?   S u s a n   o r   J o a n ?,J o a n
6,"P a u l   t r i e d   t o   c a l l   G e o r g e   o n   t h e   p h o n e ,   b u t   h e   w a s n ' t   s u c c e s s f u l .",W h o   w a s   n o t   s u c c e s s f u l ?   P a u l   o r   G e o r g e ?,P a u l
7,"P a u l   t r i e d   t o   c a l l   G e o r g e   o n   t h e   p h o n e ,   b u t   h e   w a s n ' t   a v a i l a b l e .",W h o   w a s   n o t   a v a i l a b l e ?   P a u l   o r   G e o r g e ?,G e o r g e
8,"T h e   l a w y e r   a s k e d   t h e   w i t n e s s   a   q u e s t i o n ,   b u t   h e   w a s   r e l u c t a n t   t o   a n s w e r   i t .",W h o   w a s   r e l u c t a n t   t o   a n s w e r   t h e   q u e s t i o n ?   w i t n e s s   o r   l a w y e r ?,w i t n e s s
9,"T h e   l a w y e r   a s k e d   t h e   w i t n e s s   a   q u e s t i o n ,   b u t   h e   w a s   r e l u c t a n t   t o   r e p e a t   i t .",W h o   w a s   r e l u c t a n t   t o   r e p e a t   t h e   q u e s t i o n ?   w i t n e s s   o r   l a w y e r ?,l a w y e r
10,T h e   d e l i v e r y   t r u c k   z o o m e d   b y   t h e   s c h o o l   b u s   b e c a u s e   i t   w a s   g o i n g   s o   f a s t .,W h a t   w a s   g o i n g   s o   f a s t ?   t r u c k   o r   b u s ?,t r u c k
11,T h e   d e l i v e r y   t r u c k   z o o m e d   b y   t h e   s c h o o l   b u s   b e c a u s e   i t   w a s   g o i n g   s o   s l o w .,W h a t   w a s   g o i n g   s o   s l o w ?   t r u c k   o r   b u s ?,b u s
12,F r a n k   f e l t   v i n d i c a t e d   w h e n   h i s   l o n g t i m e   r i v a l   B i l l   r e v e a l e d   t h a t   h e   w a s   t h e   w i n n e r   o f   t h e   c o m p e t i t i o n .,W h o   w a s   t h e   w i n n e r   o f   t h e   c o m p e t i t i o n ?   F r a n k   o r   B i l l ?,F r a n k
13,F r a n k   f e l t   c r u s h e d   w h e n   h i s   l o n g t i m e   r i v a l   B i l l   r e v e a l e d   t h a t   h e   w a s   t h e   w i n n e r   o f   t h e   c o m p e t i t i o n .,W h o   w a s   t h e   w i n n e r   o f   t h e   c o m p e t i t i o n ?   F r a n k   o r   B i l l ?,B i l l
14,T h e   m a n   c o u l d n ' t   l i f t   h i s   s o n   b e c a u s e   h e   w a s   s o   w e a k .,W h o   w a s   w e a k ?   m a n   o r   s o n ?,m a n
15,T h e   m a n   c o u l d n ' t   l i f t   h i s   s o n   b e c a u s e   h e   w a s   s o   h e a v y .,W h o   w a s   h e a v y ?   m a n   o r   s o n ?,s o n
16,T h e   l a r g e   b a l l   c r a s h e d   r i g h t   t h r o u g h   t h e   t a b l e   b e c a u s e   i t   w a s   m a d e   o f   s t e e l .,W h a t   w a s   m a d e   o f   s t e e l ?   b a l l   o r   t a b l e ?,b a l l
17,T h e   l a r g e   b a l l   c r a s h e d   r i g h t   t h r o u g h   t h e   t a b l e   b e c a u s e   i t   w a s   m a d e   o f   s t y r o f o a m .,W h a t   w a s   m a d e   o f   s t y r o f o a m ?   b a l l   o r   t a b l e ?,t a b l e
